Text,Language
"Speaking before the Senate Committee on Law and Justice this afternoon, Tuju said that the passage of reforms and laws will go a long way in resolving the challenges that Kenya has been facing for a long time.",English
Tuju said that the agreement between Raila and Uhuru has greatly helped bring peace to the country especially after the post-election violence.,English
"The laws in this country differ greatly from the agreement, with it being said that citizens were not involved in asking for their opinions.",English
He gave his opinion to the law and justice committee in the national parliament today.,English
Havi said that making changes to the law may differ from some local laws.,English
Havi told the committee that the BBI plan to appoint ministers from parliament goes against the constitution adopted by the people in 2010 in the country.,English
"However, Havi found that their opinions as a legal commission in LSK had not yet been included in the report.",English
Popular comedian Eric Omondi arrested today,English
Omondi was arrested after an investigation by police officers and the country's film board regarding an online video.,English
"Mutua, who is the chairman of the film industry in the country, said that the game of WIFE MATERIAL is against the law.",English
Rules created in 2014 that state that all films must be reviewed by the board before being posted online,English
Mutua said they will do everything they can to ensure that all people who upload videos online are the same.,English
He is expected to appear in court today in the first phase.,English
Kibochi has told the security officers not to pay attention to the rumors being spread regarding the vaccine.,English
Kibochi has told the security officers not to listen to rumors. ,English
He said that they are targeting teachers in government and private schools in the first phase of vaccination.,English
"""He said that the Ministry of Education currently has fifteen thousand teachers over the age of fifty-eight, ",English
He said that teachers should be given priority in the vaccination against corona.,English
Today the court rejected the idea of ??barring further witnesses from giving their testimony in the case.,English
Deya wanted the court to deny witnesses who are abroad the opportunity to testify.,English
"However, Judge Francis Andayi has ordered lawyers to ensure that witnesses who have not yet come to court to give their testimony do so.",English
Judge Andayi said the case was adjourned in April last year due to the coronavirus pandemic which disrupted travel and court proceedings.,English
"However, the lawyers have not told the court whether the witnesses, many of whom have retired, will be able to appear in court.",English
Not doing something will always be faster than doing it.,English
"This statement reminds me of the old computer programming saying, “Remember that there is no code faster than no code.”  ",English
"The same philosophy applies in other areas of life. For example, there is no meeting that goes faster than not having a meeting at all.",English
"This is not to say you should never attend another meeting, but the truth is that we say yes to many things we don't actually want to do. ",English
There are many meetings held that don't need to be held. There is a lot of code written that could be deleted.,English
"How often do people ask you to do something and you just reply, “Sure thing.” ",English
"Three days later, you're overwhelmed by how much is on your to-do list. We become frustrated by our obligations even though we were the ones who said yes to them in the first place.  ",English
It's worth asking if things are necessary.,English
"Many of them are not, and a simple “no” will be more productive than whatever work the most efficient person can muster.",English
"We agree to many requests not because we want to do them, but because we don't want to be seen as rude, arrogant, or unhelpful.",English
"Often, you have to consider saying no to someone you will interact with again in the future—your co-worker, your spouse, your family and friends.  ",English
Saying no to these people can be particularly difficult because we like them and want to support them. ,English
Collaborating with others is an important element of life. ,English
"For this reason, it can be helpful to be gracious in your response. Do whatever favors you can, and be warm-hearted and direct when you have to say no.",English
"But even after we have accounted for these social considerations, many of us still seem to do a poor job of managing the tradeoff between yes and no.",English
"We find ourselves over-committed to things that don't meaningfully improve or support those around us, and certainly don't improve our own lives.",English
The words “yes” and “no” get used in comparison to each other so often that it feels like they carry equal weight in conversation.,English
"In reality, they are not just opposite in meaning, but of entirely different magnitudes in commitment.",English
"When you say no, you are only saying no to one option. When you say yes, you are saying no to every other option.",English
"Once you have committed to something, you have already decided how that future block of time will be spent.",English
"In other words, saying no saves you time in the future. Saying yes costs you time in the future. No is a form of time credit. ",English
You retain the ability to spend your future time however you want. Yes is a form of time debt.,English
We become frustrated by our obligations even though we were the ones who said yes to them in the first place,English
Saying no is sometimes seen as a luxury that only those in power can afford.,English
"And it is true: turning down opportunities is easier when you can fall back on the safety net provided by power, money, and authority. ",English
But it is also true that saying no is not merely a privilege reserved for the successful among us. It is also a strategy that can help you become successful.,English
You need to say no to whatever isn't leading you toward your goals. You need to say no to distractions. ,English
There is an important balance to strike here. Saying no doesn't mean you'll never do anything interesting or innovative or spontaneous. ,English
"Once you have knocked out the distractions, it can make sense to say yes to any opportunity that could potentially move you in the right direction",English
You may have to try many things to discover what works and what you enjoy.,English
"This period of exploration can be particularly important at the beginning of a project, job, or career",English
"t's impossible to remember to ask yourself these questions each time you face a decision, but it's still a useful exercise to revisit from time to time. ",English
"Saying no can be difficult, but it is often easier than the alternative. ",English
What is true about health is also true about productivity: an ounce of prevention is worth a pound of cure.,English
You need to eliminate the distractions. Commit to one thing and become great at that thing.”,English
This is good advice. ,English
But there is a problem with this advice too.,English
"Of the many options in front of you, how do you know what to focus on? ",English
How do you know where to direct your energy and attention?,English
How do you determine the one thing that you should commit to doing?,English
"I don’t claim to have all the answers, but let me share what I’ve learned so far.",English
I launched my first product without having any idea who I would sell it to. ,English
"I reached out to important people, mismanaged expectations, made stupid mistakes, and essentially ruined the chance to build good relationships with people I respected.",English
"I attempted to teach myself how to code, made one change to my website, and deleted everything I had done during the previous three months.",English
"To put it simply, I didn't know what I was doing.",English
“Try things until something comes easily.” I took the advice to heart and tried four or five different business ideas over the next 18 months,English
"I'd give each one a shot for two or three months, mix in a little bit of freelance work so I could continue scraping by and paying the bills, and repeat the process.",English
"Eventually, I found “something that came easily” and I was able to focus on building one business rather than trying to find an idea. In other words, I was able to simplify.",English
This was the first thing I discovered about figuring out what to focus on.,English
"If you want to master and deeply understand the core fundamentals of a task you may, paradoxically, need to start by casting a very wide net. ",English
"By trying many different things, you can get a sense of what comes more easily to you and set yourself up for success.",English
"Even when you do measure things, however, there comes a point where you have to make a call and decide what to focus on.",English
"In my mind, this moment of decision is one of the central tensions of entrepreneurship.  ",English
Do we try to innovate or do we commit to doing one thing well?,English
"Everyone wants to know the right time to simplify and focus on one thing, but nobody does. That's what makes success so hard",English
Entrepreneurship isn’t like baking a cake. There is no recipe. There is no guidebook.  ,English
"At this stage, your best option is to decide. You can't try everything. ",English
"At some point, you don't need more information, you just need to make a choice.",English
Now we have reached the stage where figuring out what to focus on becomes a real possibility.,English
You have experimented with enough ideas to discover one or two options that seem to provide better than average results for you. ,English
You've overcome the hurdle of wanting more information and the fear of committing to something and now you've made a choice. You took the job. ,English
You started the business. You signed up for the class. You're ready.,English
Welcome to the grind. It's time to put in a volume of work.,English
"Not just once or twice. Not just when it's easy. But a consistent, repeated volume of work.",English
It is through this sheer number of repetitions that you'll come to understand the fundamentals of your task. ,English
"You might know what greatness looks like before this point, but you won't understand how to achieve greatness until you've put the work in yourself.",English
You’re going to have to try on a lot of clothes before you can simplify down to the essentials.,English
"You’ll probably have to buy a lot of clothes before you can really get a feel for what your day-in, day-out style is.",English
"I’m not a fan of promoting rampant consumerism, but if that’s the skill set you want to develop then it’s likely going to take some experimentation and effort.",English
"How many bad meals do you think you need to make before you can whip up a “simple, but tasty dinner” whenever you feel like it?",English
I’d say hundreds at least. I don’t know many people who are amazing cooks after making their tenth meal ever. ,English
Developing a deep understanding of the fundamentals of cooking takes a while.,English
You're going to have to write and write and write some more. ,English
"You need to write hundreds of thousands of words to find your voice, maybe millions.",English
Then you need to edit those words and whittle them down to the most powerful version possible.,English
Only after the repetitions have been completed will you understand which pieces of the task are fundamental to success.,English
"Are you okay? I'm coming to you, where are you?"" ",English
Very similar situation happened to me while on the phone with my wife.,English
The best comment for those like me who often watch these muted ,English
The best part is that many insurance agents will get a kick out of this as well ,English
Straight up ran that red light right into you! Hope you are ok! ,English
"Everybody was fine, the driver didnt have a license either, so thats great",English
"Are you okay are you okay, what happened? gasp are you okay, I’m coming to get you where are you, are you okay” ",English
The amount of care she has for you brother ,English
I'm lucky in so many ways ,English
"""During normal morning conversations with my wife, a complete stunned smoothbrain got my 4th Gen 4Runner totalled""",English
"That was a hard green and solid red on the other way, and you paused before going. ",English
"Contrary to popular belief, honking isn’t supposed to be used as an expression of discontent.",English
Rather it’s supposed to be an emergency signal.,English
Maybe the driver turning left honked? When I see someone drive through a red light or stop sign I'll often honk to warn other drivers even when I'm not in any danger myself. ,English
