Cleaned_Text,Language
speaking before the senate committee on law and justice this afternoon tuju said that the passage of reforms and laws will go a long way in resolving the challenges that kenya has been facing for a long time,English
tuju said that the agreement between raila and uhuru has greatly helped bring peace to the country especially after the postelection violence,English
the laws in this country differ greatly from the agreement with it being said that citizens were not involved in asking for their opinions,English
he gave his opinion to the law and justice committee in the national parliament today,English
havi said that making changes to the law may differ from some local laws,English
havi told the committee that the bbi plan to appoint ministers from parliament goes against the constitution adopted by the people in in the country,English
however havi found that their opinions as a legal commission in lsk had not yet been included in the report,English
popular comedian eric omondi arrested today,English
omondi was arrested after an investigation by police officers and the countrys film board regarding an online video,English
mutua who is the chairman of the film industry in the country said that the game of wife material is against the law,English
rules created in that state that all films must be reviewed by the board before being posted online,English
mutua said they will do everything they can to ensure that all people who upload videos online are the same,English
he is expected to appear in court today in the first phase,English
kibochi has told the security officers not to pay attention to the rumors being spread regarding the vaccine,English
kibochi has told the security officers not to listen to rumors,English
he said that they are targeting teachers in government and private schools in the first phase of vaccination,English
he said that the ministry of education currently has fifteen thousand teachers over the age of fiftyeight,English
he said that teachers should be given priority in the vaccination against corona,English
today the court rejected the idea of barring further witnesses from giving their testimony in the case,English
deya wanted the court to deny witnesses who are abroad the opportunity to testify,English
however judge francis andayi has ordered lawyers to ensure that witnesses who have not yet come to court to give their testimony do so,English
judge andayi said the case was adjourned in april last year due to the coronavirus pandemic which disrupted travel and court proceedings,English
however the lawyers have not told the court whether the witnesses many of whom have retired will be able to appear in court,English
not doing something will always be faster than doing it,English
this statement reminds me of the old computer programming saying remember that there is no code faster than no code,English
the same philosophy applies in other areas of life for example there is no meeting that goes faster than not having a meeting at all,English
this is not to say you should never attend another meeting but the truth is that we say yes to many things we dont actually want to do,English
there are many meetings held that dont need to be held there is a lot of code written that could be deleted,English
how often do people ask you to do something and you just reply sure thing,English
three days later youre overwhelmed by how much is on your todo list we become frustrated by our obligations even though we were the ones who said yes to them in the first place,English
its worth asking if things are necessary,English
many of them are not and a simple no will be more productive than whatever work the most efficient person can muster,English
we agree to many requests not because we want to do them but because we dont want to be seen as rude arrogant or unhelpful,English
often you have to consider saying no to someone you will interact with again in the futureyour coworker your spouse your family and friends,English
saying no to these people can be particularly difficult because we like them and want to support them,English
collaborating with others is an important element of life,English
for this reason it can be helpful to be gracious in your response do whatever favors you can and be warmhearted and direct when you have to say no,English
but even after we have accounted for these social considerations many of us still seem to do a poor job of managing the tradeoff between yes and no,English
we find ourselves overcommitted to things that dont meaningfully improve or support those around us and certainly dont improve our own lives,English
the words yes and no get used in comparison to each other so often that it feels like they carry equal weight in conversation,English
in reality they are not just opposite in meaning but of entirely different magnitudes in commitment,English
when you say no you are only saying no to one option when you say yes you are saying no to every other option,English
once you have committed to something you have already decided how that future block of time will be spent,English
in other words saying no saves you time in the future saying yes costs you time in the future no is a form of time credit,English
you retain the ability to spend your future time however you want yes is a form of time debt,English
we become frustrated by our obligations even though we were the ones who said yes to them in the first place,English
saying no is sometimes seen as a luxury that only those in power can afford,English
and it is true turning down opportunities is easier when you can fall back on the safety net provided by power money and authority,English
but it is also true that saying no is not merely a privilege reserved for the successful among us it is also a strategy that can help you become successful,English
you need to say no to whatever isnt leading you toward your goals you need to say no to distractions,English
there is an important balance to strike here saying no doesnt mean youll never do anything interesting or innovative or spontaneous,English
once you have knocked out the distractions it can make sense to say yes to any opportunity that could potentially move you in the right direction,English
you may have to try many things to discover what works and what you enjoy,English
this period of exploration can be particularly important at the beginning of a project job or career,English
ts impossible to remember to ask yourself these questions each time you face a decision but its still a useful exercise to revisit from time to time,English
saying no can be difficult but it is often easier than the alternative,English
what is true about health is also true about productivity an ounce of prevention is worth a pound of cure,English
you need to eliminate the distractions commit to one thing and become great at that thing,English
this is good advice,English
but there is a problem with this advice too,English
of the many options in front of you how do you know what to focus on,English
how do you know where to direct your energy and attention,English
how do you determine the one thing that you should commit to doing,English
i dont claim to have all the answers but let me share what ive learned so far,English
i launched my first product without having any idea who i would sell it to,English
i reached out to important people mismanaged expectations made stupid mistakes and essentially ruined the chance to build good relationships with people i respected,English
i attempted to teach myself how to code made one change to my website and deleted everything i had done during the previous three months,English
to put it simply i didnt know what i was doing,English
try things until something comes easily i took the advice to heart and tried four or five different business ideas over the next months,English
id give each one a shot for two or three months mix in a little bit of freelance work so i could continue scraping by and paying the bills and repeat the process,English
eventually i found something that came easily and i was able to focus on building one business rather than trying to find an idea in other words i was able to simplify,English
this was the first thing i discovered about figuring out what to focus on,English
if you want to master and deeply understand the core fundamentals of a task you may paradoxically need to start by casting a very wide net,English
by trying many different things you can get a sense of what comes more easily to you and set yourself up for success,English
even when you do measure things however there comes a point where you have to make a call and decide what to focus on,English
in my mind this moment of decision is one of the central tensions of entrepreneurship,English
do we try to innovate or do we commit to doing one thing well,English
everyone wants to know the right time to simplify and focus on one thing but nobody does thats what makes success so hard,English
entrepreneurship isnt like baking a cake there is no recipe there is no guidebook,English
at this stage your best option is to decide you cant try everything,English
at some point you dont need more information you just need to make a choice,English
now we have reached the stage where figuring out what to focus on becomes a real possibility,English
you have experimented with enough ideas to discover one or two options that seem to provide better than average results for you,English
youve overcome the hurdle of wanting more information and the fear of committing to something and now youve made a choice you took the job,English
you started the business you signed up for the class youre ready,English
welcome to the grind its time to put in a volume of work,English
not just once or twice not just when its easy but a consistent repeated volume of work,English
it is through this sheer number of repetitions that youll come to understand the fundamentals of your task,English
you might know what greatness looks like before this point but you wont understand how to achieve greatness until youve put the work in yourself,English
youre going to have to try on a lot of clothes before you can simplify down to the essentials,English
youll probably have to buy a lot of clothes before you can really get a feel for what your dayin dayout style is,English
im not a fan of promoting rampant consumerism but if thats the skill set you want to develop then its likely going to take some experimentation and effort,English
how many bad meals do you think you need to make before you can whip up a simple but tasty dinner whenever you feel like it,English
id say hundreds at least i dont know many people who are amazing cooks after making their tenth meal ever,English
developing a deep understanding of the fundamentals of cooking takes a while,English
youre going to have to write and write and write some more,English
you need to write hundreds of thousands of words to find your voice maybe millions,English
then you need to edit those words and whittle them down to the most powerful version possible,English
only after the repetitions have been completed will you understand which pieces of the task are fundamental to success,English
are you okay im coming to you where are you,English
very similar situation happened to me while on the phone with my wife,English
the best comment for those like me who often watch these muted,English
the best part is that many insurance agents will get a kick out of this as well,English
straight up ran that red light right into you hope you are ok,English
everybody was fine the driver didnt have a license either so thats great,English
are you okay are you okay what happened gasp are you okay im coming to get you where are you are you okay,English
the amount of care she has for you brother,English
im lucky in so many ways,English
during normal morning conversations with my wife a complete stunned smoothbrain got my th gen runner totalled,English
that was a hard green and solid red on the other way and you paused before going,English
contrary to popular belief honking isnt supposed to be used as an expression of discontent,English
rather its supposed to be an emergency signal,English
maybe the driver turning left honked when i see someone drive through a red light or stop sign ill often honk to warn other drivers even when im not in any danger myself,English
there was even another car that appeared to make the left turn as you were going straight the truck surely saw that and didnt even try to stop,English
the left turn guy would have had a head on collision if he was any slower,English
and he also hit another vehicle,English
im sorry about your car,English
im in love with your wife,English
they have the chance to do the funniest thing ever,English
put it right next to your award for times person of the year,English
i have never seen such a coming together of my local community and it makes me so happy that it is for such a noble cause,English
im especially proud of how youve all held your ground without dangerous escalations of violence,English
what it really means to be a patriot,English
this is what i say when people joke about moving to canada they want us out of the way not voting against them,English
his is the biggest wake up call the people of this country are ever going to have the moment is now,English
ive seen the same things happening in my small town over an hour from the cities so many people are standing up for other humans theyve never met before,English
well at least they wont turn around and give it to trump,English
this would be the best thing to happen in a long time,English
the irony is they wouldnt have gotten the nomination if it werent for trump,English
do you really know everything that happens during your agent runs observability has been the biggest pain point for me,English
since i started automating part of my life with agents sometimes a hour run doesnt produce the result i expected and i need to figure out why,English
